moa	dose	assay	avg_precision	no_of_compounds_per_moa	median_replicate_correlation	p_value_percent_matching
androgen receptor agonist	3.33 uM	L1000	0.012701276314674801	3	0.11468176867671645	0.06
androgen receptor agonist	10 uM	L1000	0.08002536679007267	3	0.17927608207903067	0.013
androgen receptor agonist	All	L1000	0.024760503986455733	18	0.17613278955101597	0
androgen receptor antagonist	0.04 uM	Cell Painting	0.006303886356152322	5	0.029894772440498492	0.099
androgen receptor antagonist	0.12 uM	Cell Painting	0.005223325699589408	5	0.019625191308108435	0.27
androgen receptor antagonist	0.37 uM	Cell Painting	0.011222023799223858	5	0.02263277047046939	0.176
androgen receptor antagonist	1.11 uM	Cell Painting	0.0073696654650865	5	0.0251904374216161	0.15
androgen receptor antagonist	3.33 uM	Cell Painting	0.02039438667775774	5	0.03690189171063647	0.046
androgen receptor antagonist	10 uM	Cell Painting	0.012519898872734563	5	0.03546440864910255	0.185
androgen receptor antagonist	All	Cell Painting	0.00475872094332619	30	0.0075040017275656845	0.236
androgen receptor antagonist	0.04 uM	L1000	0.0037078916068897776	5	0.008591733521444852	0.654
androgen receptor antagonist	0.12 uM	L1000	0.0038878523596676024	5	0.01691883669769226	0.568
androgen receptor antagonist	0.37 uM	L1000	0.004263591253026529	5	0.0013651873365580838	0.726
androgen receptor antagonist	1.11 uM	L1000	0.004050722247276012	5	0.013364804916328956	0.593
androgen receptor antagonist	3.33 uM	L1000	0.007096638043414523	5	0.011207307494119158	0.603
androgen receptor antagonist	10 uM	L1000	0.010584012315164633	5	0.011817158516945802	0.636
androgen receptor antagonist	All	L1000	0.003913794487354591	30	0.026317766598087503	0.198
androgen receptor modulator	0.04 uM	Cell Painting	0.007568438898471794	3	0.020145941860348158	0.311
androgen receptor modulator	0.12 uM	Cell Painting	0.007482291440068808	3	0.027854223122429897	0.204
androgen receptor modulator	0.37 uM	Cell Painting	0.010426033649039617	3	0.048813761238586356	0.077
androgen receptor modulator	1.11 uM	Cell Painting	0.013324049016076886	3	0.08175828267288145	0.02
androgen receptor modulator	3.33 uM	Cell Painting	0.00632116372198265	3	0.04113667274108962	0.125
androgen receptor modulator	10 uM	Cell Painting	0.0041595599886322	3	0.06186349451413379	0.137
androgen receptor modulator	All	Cell Painting	0.004521181434095634	18	0.041422668729009085	0
androgen receptor modulator	0.04 uM	L1000	0.0023782778445120886	3	-0.019090720958234397	0.698
androgen receptor modulator	0.12 uM	L1000	0.0024303569197444445	3	-0.011560810335868319	0.653
androgen receptor modulator	0.37 uM	L1000	0.0027144522277659103	3	-0.018042497292641325	0.731
androgen receptor modulator	1.11 uM	L1000	0.0034087035639237106	3	-0.03600501488377635	0.802
androgen receptor modulator	3.33 uM	L1000	0.009426518519621032	3	0.051490557807606835	0.244
androgen receptor modulator	10 uM	L1000	0.011488785263061766	3	-0.04501424741922282	0.854
androgen receptor modulator	All	L1000	0.0035032733468705873	18	-0.01418370558872531	1
angiogenesis inhibitor	All	Cell Painting	7.215328553420673e-4	12	-0.016143060137861476	1
angiogenesis inhibitor	All	L1000	0.0033000614779620627	12	0.005032968006983045	0.989
angiotensin converting enzyme inhibitor	0.04 uM	Cell Painting	0.011438694951325231	8	0.019951211623272454	0.139
angiotensin converting enzyme inhibitor	0.12 uM	Cell Painting	0.012703789023531403	8	0.021701572298365397	0.106
angiotensin converting enzyme inhibitor	0.37 uM	Cell Painting	0.009477814706923472	8	0.02087433034281681	0.089
angiotensin converting enzyme inhibitor	1.11 uM	Cell Painting	0.009387740292524139	8	0.010031615133175999	0.371
angiotensin converting enzyme inhibitor	3.33 uM	Cell Painting	0.0071580408976687025	8	0.003309041572445763	0.59
angiotensin converting enzyme inhibitor	10 uM	Cell Painting	0.008640098053243207	8	0.0019817849294583418	0.834
angiotensin converting enzyme inhibitor	All	Cell Painting	0.007931825169657397	48	0.0073818342205023944	0.182
angiotensin converting enzyme inhibitor	0.04 uM	L1000	0.005904089376326006	8	-0.0014904296295823525	0.918
angiotensin converting enzyme inhibitor	0.12 uM	L1000	0.008275029934587584	8	0.028162796521666502	0.395
angiotensin converting enzyme inhibitor	0.37 uM	L1000	0.009506588707258602	8	0.07376114822202305	0.044
angiotensin converting enzyme inhibitor	1.11 uM	L1000	0.007764872426718021	8	0.061442952870074286	0.052
angiotensin converting enzyme inhibitor	3.33 uM	L1000	0.008660101696791206	8	0.06276861129504682	0.046
angiotensin converting enzyme inhibitor	10 uM	L1000	0.010725110853431146	8	0.03329345170658157	0.369
angiotensin converting enzyme inhibitor	All	L1000	0.00740860178166354	48	0.03569389468906406	0
